NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
44 ,17,1,  73.8%,  0.75%
44 ,17,2,  23.9%,  0.94%
44 ,17,3,  11.1%,  0.76%
44 ,17,4,   0.4%,  0.09%
44 ,17,5,   0.8%,  0.18%
44 ,17,6,   3.6%,  0.40%
44 ,17,7,   0.1%,  0.08%
44 ,17,8,   1.4%,  0.25%
44 ,17,9,  20.7%,  0.59%
44 ,18,1,  30.4%,  0.72%
44 ,18,2,  32.2%,  0.96%
44 ,18,3,  37.4%,  0.68%
44 ,19,1,  25.7%,  0.82%
44 ,19,2,  20.5%,  0.95%
44 ,19,3,  23.5%,  0.94%
44 ,19,4,  37.8%,  0.99%
44 ,19,5,  15.0%,  0.93%
44 ,19,6,  21.9%,  0.65%
44 ,19,7,   4.4%,  0.42%
44 ,19,8,  31.9%,  0.94%
44 ,20,1,   0.5%,  0.08%
44 ,20,2,   2.9%,  0.53%
44 ,20,3,  14.8%,  0.58%
44 ,20,4,  45.2%,  1.16%
44 ,20,5,   8.4%,  0.59%
44 ,20,6,   1.8%,  0.23%
44 ,20,7,  15.7%,  1.00%
44 ,20,8,  10.7%,  0.49%
48 ,2,1,  35.4%,  1.48%
48 ,2,2,  42.2%,  1.50%
